domain,count
www.lectra.com,7002
www.gaydavineyards.com,2078
8tracks.com,40
www.ticketsinventory.com,1103
patrick.pezier.com,16
www.slideshare.net,602
www.flickr.com,49
decheteries.solugeo.fr,541
www.scconline.org,859
www.qcclick.com,36
zh.wikipedia.org,18
www.touristlink.com,2587
www.actu-lan.com,7324
www.ticketnetwork.com,11471
www.qivivo.com,43
hypnose-medicale.eu,18
www.grassrootsfeminism.net,116
www.cnap.fr,9
www.elance.com,14
www.portail-du-chocolat.fr,16
www.euronews.com,165
www.europejazz.net,265
www.tourmapr.com,102
www.tenaris.com,2304
www.invista.com,1016
www.carrepointu.com,355
www.pitchup.com,528
www.acquia.com,88
www.labelsandlabeling.com,1206
www.orange-business.com,1470
therapeutes.eu,260
hypnose-ericksonienne.fr,885
www.ondata.es,460
www-subatech.in2p3.fr,81
www.royal-de-luxe.com,29
www.kappastore.eu,149
www.last.fm,7077
www.scantool.net,766
terraform.fr,47
www.speed-burger.com,2916
www.televes.es,137
le-portail.com,507
www.wik-nantes.fr,17
simple.wikipedia.org,45
www.toplien.fr,70
undergrad.admissions.columbia.edu,520
www.thouare.fr,38
hudson.fr,17
lefooding.com,21
www.cmigroupe.com,1318
www.zapaday.com,28
www.genuineguidegear.com,27054
fr.nomao.com,2406
www.annuaire-mairie.fr,15
www.marcospecialties.com,120
www.annuairetel247.com,86
www.chezmonveto.com,9
www.easytobook.com,996
www.kappastore.fr,4023
www.esn-nantes.org,15
www.tvtrip.fr,41
www.epilogue.net,7
www.radio-spektrum.fr,564
www.sportcom.fr,74
www.scooter-system.tel,35
www.fabert.com,101
kevin-p.cv.fm,328
www.crestron.eu,1423
loire-atlantique.mopimmo.com,16
www.acappella-online.de,521
